artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,popularity
Ellen Gottschalch,0.47575,0.89175,0.47450000000000003,59980.25,0.1505,0.0,0.355,-16.74125,0.055249999999999994,93.077,0.0
Biscot,0.933,0.903,0.805,155173.0,0.243,0.0,0.0421,-12.972,0.0857,136.66,0.0
Tusharkana Pal,0.341,0.967,0.42,202253.0,0.307,0.000686,0.42,-11.454,0.0445,75.633,0.0
Lucien Boyer,0.897,0.995,0.703,186800.0,0.28,6.840000000000001e-05,0.163,-15.39,0.174,127.531,0.0
Tushar Dutta,0.4235,0.6675,0.4565,218453.5,0.3405,0.0,0.1605,-12.0305,0.0408,109.163,0.0
Lucia Belen,0.3075,0.0613,0.452,270021.0,0.452,0.0005829499999999999,0.1795,-9.031500000000001,0.101,88.19649999999999,0.0
Turbotronic,0.46666666666666673,0.01296,0.7833333333333333,188923.0,0.9696666666666666,0.09716666666666668,0.1291,-2.0963333333333334,0.055400000000000005,129.97799999999998,0.0
Henriot Gwenaël,0.388,0.995,0.365,190240.0,0.0502,0.913,0.0946,-25.791,0.0907,76.355,0.0
Tunghook,0.4620000000000001,0.1260177,0.397,290973.0,0.9435,0.03945,0.3,-3.5885,0.13875,114.77949999999998,0.0
Tung Wasabi,0.629,0.021,0.485,178991.0,0.62,0.398,0.148,-16.92,0.0409,120.013,0.0
Luca Burgalassi,0.359,0.774,0.619,276760.0,0.468,0.000621,0.118,-7.728,0.0306,140.023,0.0
Tune Brothers,0.65,0.000855,0.735,322560.0,0.818,0.861,0.0422,-6.459,0.0409,125.026,0.0
Loyloy Thessalonikia,0.659,0.983,0.371,205293.0,0.557,0.0132,0.109,-6.625,0.0299,112.001,0.0
R. P. Sharma,0.527,0.984,0.409,204120.0,0.126,0.888,0.151,-13.844,0.0395,84.869,0.0
Tulshiram Buva Dixit,0.5920000000000001,0.58,0.392,254347.0,0.496,0.0,0.26,-10.561,0.0374,97.999,0.0
Loveys Band,0.924,0.996,0.39,179487.0,0.482,0.8690000000000001,0.375,-15.433,0.0567,141.048,0.0
Blaise Cendrars,0.239,0.961,0.469,1360600.0,0.191,4.08e-05,0.103,-13.014,0.0721,88.118,0.0
Tukua Tauhere Teuria,0.7090000000000001,0.99,0.78,31760.0,0.341,0.0,0.101,-14.855,0.325,140.715,0.0
Henry Blair,0.957,0.981,0.6,53862.0,0.551,3.37e-05,0.542,-5.867000000000001,0.385,204.126,0.0
R-Tem,0.177,0.0071,0.753,570540.0,0.67,0.894,0.117,-8.179,0.0851,126.023,0.0
Henri Michaux,0.0551,0.8859999999999999,0.506,80533.0,0.0291,0.128,0.111,-24.335,0.0801,75.807,0.0
Staffy,0.3,0.0266,0.871,352515.0,0.7120000000000001,0.901,0.685,-8.501,0.171,128.014,0.0
Ludvig Brandstrup,0.504,0.995,0.584,209400.0,0.0467,0.00102,0.188,-24.307,0.113,145.52100000000004,0.0
Ellen Gottschalch og Niels Brincker,0.706,0.867,0.5680000000000001,53771.5,0.245,0.0,0.3505,-15.2165,0.045899999999999996,100.668,0.0
Two male singers with iya drum and atchere,0.95,0.994,0.5660000000000001,189200.0,0.47,0.902,0.161,-16.924,0.482,164.97799999999995,0.0
Biswaroop Ghose Dastidar,0.616,0.638,0.451,237253.0,0.408,1.0800000000000003e-05,0.429,-12.087,0.0496,148.871,0.0
Biswarup Ghoshdastidar,0.0927,0.124,0.604,214773.0,0.213,0.000408,0.0798,-15.758,0.0339,82.666,0.0
Two aboriginal Songmen with didjeridu,0.631,0.325,0.657,161787.0,0.1669999999999999,0.265,0.115,-18.441,0.0685,110.542,0.0
Ellen Gottschalch og Max Hansen,0.584,0.8909999999999999,0.513,64505.0,0.338,0.0,0.755,-15.103,0.0434,60.82899999999999,0.0
