genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
asian american hip hop,23.309380952380952,76.36,196914.89523809525,65.1395238095238,0.04699328571428,18.369,-677.6066666666666,12.08147619047619,108.3532761904762,49.19761904761905,61.84761904761905
asmr,48.096777777777774,18.522222222222222,203037.3333333333,30.83333333333333,91.71111111111112,21.94444444444444,-1946.5666666666668,6.431111111111109,80.81955555555554,2.70111111111111,63.0
athens indie,17.342838178053828,50.96802967563837,243839.7098214285,65.40589415113871,23.816765002242928,15.74449771394065,-910.4683445479642,4.19573606797791,126.17643148291928,53.393377544858524,40.99592391304348
atl hip hop,12.943278864316971,73.53641372237833,244548.80577964315,64.61326983215862,1.28198066452594,19.291763881450443,-670.4093316676606,18.248210220686133,123.14134458460478,52.84738472723499,51.9581621254174
atl trap,13.29269683494906,72.21309398010798,234431.22041896672,61.562406643750286,0.60391947060759,19.981978128518172,-709.9126384583789,21.77776421687389,124.51356938982865,49.661188275527515,56.33085113742048
atlanta indie,15.290799999999999,56.67,218955.44,70.826,9.881184,26.024,-760.262,5.16,122.26438,61.928,52.28
atlanta metal,0.91204608333333,44.90611111111111,217496.5277777777,92.44583333333331,15.446428444444441,21.313750000000002,-487.44666666666666,8.64238888888889,122.70448888888887,42.825277777777785,47.78888888888889
atlanta punk,16.220000000000002,50.64999999999999,138560.0,66.95,0.0406,20.3,-707.4499999999999,3.36,155.7905,82.1,48.0
atmosphere,88.95132653061226,27.00989795918367,188269.90816326533,11.8075,87.04693877551023,11.36801020408163,-2401.6530612244906,6.08918367346938,93.49492346938776,13.61602040816326,51.53571428571429
atmospheric black metal,0.13254950000000001,26.38333333333333,356480.0,76.81666666666668,76.81833333333331,32.60333333333333,-934.5000000000002,5.73666666666666,111.02750000000005,24.10166666666666,43.83333333333334
atmospheric dnb,3.0,68.3,267107.0,78.9,1.05,7.24,-903.4000000000001,6.02,119.504,65.7,48.0
atmospheric post-metal,0.00271,28.999999999999996,348640.0,71.7,81.6,70.6,-943.9,5.56,110.271,23.599999999999998,40.0
atmospheric post-rock,0.942,86.9,308613.0,88.8,0.11100000000000002,18.6,-273.1,8.59,135.023,85.6,0.0
atmospheric sludge,0.00271,28.999999999999996,348640.0,71.7,81.6,70.6,-943.9,5.56,110.271,23.599999999999998,40.0
auckland indie,1.541476875,57.356249999999996,221540.0,63.74374999999999,3.70886875,24.785,-658.8750000000001,6.5212499999999896,126.71887500000004,36.406875,56.125
audiophile vocal,63.98333333333333,51.25000000000001,196339.83333333328,26.456666666666674,0.014681000000000001,12.98,-1735.033333333333,3.34,84.95633333333333,51.34333333333333,31.16666666666667
aussietronica,13.767923076923068,63.07153846153846,260786.0730769231,67.43076923076923,12.67890907692307,14.545153846153841,-674.313076923077,4.777653846153839,119.23266153846156,31.31,60.096153846153854
austin americana,39.2044375,57.16041666666667,278978.6145833334,62.263541666666676,0.8585392916666599,22.688125,-712.1666666666666,7.68416666666666,112.86020833333332,48.63125,50.65625
austin singer-songwriter,47.56979166666666,53.95416666666666,291757.1979166666,63.14791666666667,3.36805479166666,31.26166666666666,-973.05,6.272083333333329,127.61339583333331,53.78645833333333,41.16666666666667
austindie,32.91371923076923,60.555128205128206,241183.3782051282,63.16153846153847,5.43868190384615,16.171153846153842,-734.4634615384615,5.4124358974358895,108.67665384615384,58.950641025641026,50.94871794871796
australian alternative pop,68.37290434782608,48.44173913043479,250463.1652173913,39.59739130434783,0.7340046260869499,14.336695652173908,-890.901739130435,4.43878260869565,122.80941739130436,13.350260869565208,63.04347826086956
australian alternative rock,8.57656291666666,53.18218750000001,229777.91979166665,77.07020833333333,3.53603359895833,19.97782291666666,-759.5144791666668,6.36109375,117.68733333333331,55.46041666666666,44.40312500000001
australian ambient,98.7,30.099999999999998,367667.0,0.89,90.7,10.100000000000001,-3080.3999999999996,3.71,127.536,8.97,58.0
australian children's music,49.10464935064934,70.97467532467532,116084.8116883117,43.086363636363636,0.0010123376623376625,17.23246753246753,-1206.5409090909088,8.94603896103896,139.49703896103898,76.61168831168831,42.051948051948045
australian choir,99.3,29.099999999999998,164000.0,2.18,0.00035000000000000016,7.66,-2587.6,5.28,136.83700000000002,29.099999999999998,15.0
australian classical,35.9525,35.69999999999999,128650.0,17.1075,45.4875,10.745000000000001,-1990.3500000000001,3.5900000000000003,104.83375,15.65499999999999,26.0
australian classical piano,96.89999999999999,11.3,194267.0,7.32,77.2,10.7,-2321.0,4.96,174.59900000000005,3.7900000000000005,39.0
australian country,33.9247747368421,59.42231578947368,204273.63157894733,54.32273684210526,0.0020928126315789474,12.547494736842099,-992.6075789473682,5.0018947368421,108.12267368421053,53.51726315789473,43.41894736842105
australian dance,11.289049293827889,61.12521377317732,245335.82063728428,74.83357170828496,11.270629106289281,21.46573961849726,-635.4233964535299,6.775122105676851,128.92783321879838,45.92901851454806,53.37918618938036
australian electropop,17.55749474280621,57.418151897122485,263496.080186317,66.15493124522537,15.347156245390881,17.79772332569391,-750.7762607164077,4.83453038791274,140.49012164289957,41.25068207282913,50.58788515406161
australian garage punk,32.09740625,57.2375,194024.5625,86.28125000000001,17.35886687499999,17.35375,-514.25625,5.6125,126.96425,58.02499999999999,56.375
australian hip hop,10.39718801652892,66.61167355371902,184552.6511707989,69.68457300275482,7.64329475,21.29932162534435,-726.1687672176308,10.33915289256198,125.51405716253444,57.86284435261708,58.420110192837456
australian house,8.559285714285709,62.58571428571429,295320.2857142857,81.03571428571428,34.19622857142857,23.27357142857143,-536.3857142857141,4.40928571428571,123.25421428571428,55.064285714285724,58.07142857142857
australian indie,18.62194458333333,58.56053921568628,281224.35212418303,70.47205882352941,10.24256637254902,17.83156862745098,-671.2343954248363,6.65991013071895,119.9604820261438,44.6161274509804,53.57843137254901
